Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_1 Spectral Count	control_2 Spectral Count	control_3 Spectral Count	control_4 Spectral Count	control_5 Spectral Count	control_6 Spectral Count	control_1 Unique Spectral Count	control_2 Unique Spectral Count	control_3 Unique Spectral Count	control_4 Unique Spectral Count	control_5 Unique Spectral Count	control_6 Unique Spectral Count	control_1 Total Spectral Count	control_2 Total Spectral Count	control_3 Total Spectral Count	control_4 Total Spectral Count	control_5 Total Spectral Count	control_6 Total Spectral Count	control_1 Intensity	control_2 Intensity	control_3 Intensity	control_4 Intensity	control_5 Intensity	control_6 Intensity	control_1 MaxLFQ Intensity	control_2 MaxLFQ Intensity	control_3 MaxLFQ Intensity	control_4 MaxLFQ Intensity	control_5 MaxLFQ Intensity	control_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6NGB9|WIPF3_HUMAN	A6NGB9	WIPF3_HUMAN	WIPF3	483	Homo sapiens	1:Experimental evidence at protein level	WAS/WASL-interacting protein family member 3	0.9514	0.999	1	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	10502.709	0.0	0.0	12376.481	15157.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0A0MSG0|A0A0A0MSG0_HUMAN
sp|A6NGK3|GAG10_HUMAN	A6NGK3	GAG10_HUMAN	GAGE10	116	Homo sapiens	1:Experimental evidence at protein level	G antigen 10	1.0	0.999	2	7	7	25	1	3	0	0	0	3	1	3	0	0	0	3	3	5	3	4	3	7	45479.71	41571.312	0.0	0.0	0.0	235096.28	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	1.0	0.999	4	30	30	70	5	6	3	4	5	7	5	6	3	4	5	7	7	14	9	10	14	16	1889173.2	1894189.8	1939555.5	1889557.8	1899165.5	1852493.0	1658770.6	1729576.4	1719277.8	1896688.4	1837178.2	1761139.1	
sp|A6NHQ2|FBLL1_HUMAN	A6NHQ2	FBLL1_HUMAN	FBLL1	334	Homo sapiens	3:Protein inferred from homology	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	0.9998	0.999	5	10	10	49	2	1	1	2	3	1	2	1	1	2	3	1	8	7	7	10	9	8	29040.57	33032.766	34722.39	34648.508	31970.21	25813.863	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	56	388	0	388	67	73	52	63	64	69	0	0	0	0	0	0	67	73	52	63	64	69	3560705.2	3582134.2	3500170.2	3592838.8	3762210.0	3612476.2	175640.47	174600.9	174793.55	181304.12	183592.56	182864.22	
sp|A6NHX0|CAST2_HUMAN	A6NHX0	CAST2_HUMAN	CASTOR2	329	Homo sapiens	1:Experimental evidence at protein level	Cytosolic arginine sensor for mTORC1 subunit 2	0.9061	0.998	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5534.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	1:Experimental evidence at protein level	Protein unc-119 homolog B	0.9989	0.9989	2	8	1	8	2	1	1	2	1	1	1	0	0	0	0	0	2	1	1	2	1	1	70656.625	71986.84	86204.56	30407.666	0.0	44628.207	41042.06	41423.188	50625.426	0.0	0.0	0.0	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens	1:Experimental evidence at protein level	12S rRNA N4-methylcytidine (m4C) methyltransferase	1.0	0.999	2	7	7	7	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	55911.824	39471.004	40526.16	56972.0	56557.71	44328.99	45703.258	0.0	0.0	44624.465	41403.777	0.0	
sp|A6NKF1|SAC31_HUMAN	A6NKF1	SAC31_HUMAN	SAC3D1	404	Homo sapiens	1:Experimental evidence at protein level	SAC3 domain-containing protein 1	0.6921	0.9914	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|F8WC89|F8WC89_HUMAN
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	Homo sapiens	1:Experimental evidence at protein level	Nuclear envelope pore membrane protein POM 121C	1.0	0.999	7	50	7	50	6	13	11	6	6	8	1	3	1	0	1	1	6	13	11	6	6	8	184850.81	248626.47	130770.36	179350.88	209806.53	167220.1	66394.76	77579.69	60899.453	59610.145	63687.887	60731.84	
sp|A8MPS7|YDJC_HUMAN	A8MPS7	YDJC_HUMAN	YDJC	323	Homo sapiens	1:Experimental evidence at protein level	Carbohydrate deacetylase	1.0	0.999	7	36	36	36	6	8	6	4	6	6	6	8	6	4	6	6	6	8	6	4	6	6	273127.5	272910.2	199998.19	237037.33	252714.17	228382.94	63090.586	65237.926	63358.727	71290.29	76557.95	74629.5	
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	Homo sapiens	1:Experimental evidence at protein level	Acyl-coenzyme A diphosphatase NUDT19	0.9999	0.999	2	7	7	7	2	2	2	1	0	0	2	2	2	1	0	0	2	2	2	1	0	0	77592.75	82067.5	98770.984	77525.695	78681.89	78769.89	45349.586	46232.258	57759.387	43641.246	45911.555	45856.363	
sp|A9UHW6|MI4GD_HUMAN	A9UHW6	MI4GD_HUMAN	MIF4GD	222	Homo sapiens	1:Experimental evidence at protein level	MIF4G domain-containing protein	0.9514	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	25157.887	0.0	19363.09	25203.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|J3KSB8|J3KSB8_HUMAN, tr|J3QLD1|J3QLD1_HUMAN, tr|J3QRZ6|J3QRZ6_HUMAN
sp|B2RUZ4|SMIM1_HUMAN	B2RUZ4	SMIM1_HUMAN	SMIM1	78	Homo sapiens	1:Experimental evidence at protein level	Small integral membrane protein 1	0.9514	0.999	1	4	0	4	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	25715.3	19601.041	17016.797	23011.39	0.0	20978.355	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A2R8Y7R4|A0A2R8Y7R4_HUMAN, tr|H3BS66|H3BS66_HUMAN
sp|B3EWF7|EP2A2_HUMAN	B3EWF7	EP2A2_HUMAN	EPM2A	344	Homo sapiens	1:Experimental evidence at protein level	Laforin, isoform 9	0.9312	0.9986	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	33331.69	31378.121	28025.129	32345.12	32606.307	26138.447	0.0	0.0	0.0	0.0	0.0	0.0	
sp|C9J7I0|UMAD1_HUMAN	C9J7I0	UMAD1_HUMAN	UMAD1	137	Homo sapiens	1:Experimental evidence at protein level	UBAP1-MVB12-associated (UMA)-domain containing protein 1	1.0	0.999	2	11	11	11	2	1	3	1	2	2	2	1	3	1	2	2	2	1	3	1	2	2	55239.766	40065.496	63521.703	39391.184	44538.926	63395.734	36017.1	0.0	40323.008	0.0	0.0	40820.094	
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	Homo sapiens	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0	0.999	4	24	0	24	5	3	2	5	4	5	0	0	0	0	0	0	5	3	2	5	4	5	275486.34	297395.84	258591.95	304652.28	315607.66	328585.8	131534.03	130189.67	120578.445	126470.74	132069.05	136296.73	tr|I3L2L5|I3L2L5_HUMAN, tr|I3L4Q0|I3L4Q0_HUMAN
sp|D6VTK4|STE2_YEAST	D6VTK4	STE2_YEAST	STE2	431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pheromone alpha factor receptor	1.0	0.999	4	6	6	6	1	1	3	1	0	0	1	1	3	1	0	0	1	1	3	1	0	0	41691.5	55108.145	54453.457	13328.529	0.0	27692.604	28736.357	28758.254	28730.633	0.0	0.0	17377.215	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	110	0	110	15	19	17	20	18	21	0	0	0	0	0	0	15	19	17	20	18	21	9019407.0	8823364.0	9113608.0	9525595.0	9557104.0	9608157.0	3188301.8	3191467.2	3154277.0	3397361.2	3356241.5	3350861.2	sp|Q13765|NACA_HUMAN, tr|A0A7I2V2K5|A0A7I2V2K5_HUMAN, tr|A0A7I2V473|A0A7I2V473_HUMAN, tr|F8VZJ2|F8VZJ2_HUMAN, tr|H0YHX9|H0YHX9_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	4:Protein predicted	Uncharacterized protein C11orf98	1.0	0.999	3	15	7	15	2	3	3	3	2	2	1	1	1	2	1	1	2	3	3	3	2	2	646392.1	523788.9	433930.5	507808.28	535926.4	412393.5	245265.08	239950.53	240076.69	229861.67	238813.97	221720.19	
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	0.9999	0.9947	2	9	9	9	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	2	2	101914.3	97422.52	101019.16	109134.45	119106.18	122191.14	64513.027	59007.01	61919.85	73069.375	78977.63	79979.805	
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	Homo sapiens	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	1.0	0.999	4	13	3	13	2	1	2	2	2	4	1	0	1	1	0	0	2	1	2	2	2	4	175816.69	165660.9	179686.22	170485.77	154983.27	195169.81	53713.305	50097.2	54645.375	51464.934	58712.05	58913.797	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0	0.999	4	15	11	15	4	2	2	1	2	4	2	1	2	1	1	4	4	2	2	1	2	4	160686.11	166010.03	182860.19	155239.9	223396.9	220656.34	65437.293	67210.95	69599.51	64035.926	68094.695	66411.516	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	22	193	0	193	35	32	32	33	27	34	0	0	0	0	0	0	35	32	32	33	27	34	1796367.9	1831940.9	1742936.8	1788383.8	1610563.9	1774033.6	153523.9	159308.31	154278.86	154460.95	147988.45	152742.3	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	0.9901	0.999	17	2	0	92	0	1	1	0	0	0	0	0	0	0	0	0	16	15	17	15	13	16	0.0	20202.336	22588.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A6Q8PG37|A0A6Q8PG37_HUMAN, tr|A0A6Q8PGH7|A0A6Q8PGH7_HUMAN
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	19	133	70	302	26	21	25	20	19	22	16	10	14	11	10	9	54	53	54	47	45	49	2536472.2	2512602.5	2493917.0	2284446.2	2172355.2	2145691.2	617757.6	608910.5	588206.3	609591.3	539259.0	535764.4	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	Homo sapiens	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0	0.999	18	263	263	263	46	46	44	44	40	43	46	46	44	44	40	43	46	46	44	44	40	43	4701105.5	4918678.5	4778342.0	4817703.0	4830482.0	4847183.5	802394.2	813942.6	791927.1	794299.75	796012.94	805920.25	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0	0.999	10	138	61	138	21	20	26	27	24	20	7	9	11	13	11	10	21	20	26	27	24	20	2324673.0	2275149.2	2432317.0	2420222.5	2372322.8	2364018.5	416034.38	419661.38	445231.94	430977.8	428220.66	441156.66	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0	0.999	5	9	0	9	1	1	3	1	1	2	0	0	0	0	0	0	1	1	3	1	1	2	61393.195	76220.09	103708.195	72062.05	41305.516	64969.582	34647.13	31937.242	31344.408	30845.223	33301.39	24372.92	tr|F5H6E2|F5H6E2_HUMAN
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	Homo sapiens	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0	0.999	11	104	0	104	20	16	16	16	19	17	0	0	0	0	0	0	20	16	16	16	19	17	1116100.2	1090684.6	1034300.75	1161136.5	1098709.4	1120828.0	205633.31	197606.19	198465.28	213683.11	209257.86	205859.45	
